NCESSchoolID,inputAddress,matchIndicator,matchType,outputAddress,lonLat,tigerLineId,unkDontCare
"240009001661","2800 Brendan Avenue, Baltimore, MD, 21213","Match","Exact","2800 Brendan Ave, BALTIMORE, MD, 21213","-76.57335,39.3246","206410445","L"
"240009000328","820 E 43rd St, Baltimore, MD, 21212","Match","Exact","820 E 43rd St, BALTIMORE, MD, 21212","-76.60452,39.34238","206445670","L"
"240009001663","2815 St. Lo Drive, Baltimore, MD, 21213","Match","Exact","2815 St Lo Dr, BALTIMORE, MD, 21213","-76.58801,39.31954","206457773","L"
"240009000326","1207 Pine Heights Ave, Baltimore, MD, 21229","Match","Exact","1207 Pine Heights Ave, BALTIMORE, MD, 21229","-76.673904,39.267216","206415661","L"
"170993000709","4140 N Marine Dr, Chicago, IL, 60613","Match","Exact","4140 N Marine Dr, CHICAGO, IL, 60613","-87.646,41.956856","611507546","L"
"181272002021","1801 E 86th St, Indianapolis, IN, 46240","Match","Exact","1801 E 86th St, INDIANAPOLIS, IN, 46240","-86.12994,39.91251","107983327","R"
"240009000323","100 E Heath St, Baltimore, MD, 21230","Match","Exact","100 E Heath St, BALTIMORE, MD, 21230","-76.61156,39.27063","206421297","L"
"181272002022","8401 Westfield Blvd, Indianapolis, IN, 46240","Match","Non_Exact","8401 Westfield Rd, INDIANAPOLIS, IN, 46240","-86.134964,39.90865","107983406","R"
"240009000322","605 Dryden Dr, Baltimore, MD, 21229","Match","Exact","605 Dryden Dr, BALTIMORE, MD, 21229","-76.69924,39.29501","206412650","R"
"181272002023","8250 Springmill Rd, Indianapolis, IN, 46260","Match","Non_Exact","8250 Spring Mill Rd, INDIANAPOLIS, IN, 46260","-86.16508,39.905327","107982895","L"
"181272002024","1301 W 73rd St, Indianapolis, IN, 46260","Match","Exact","1301 W 73rd St, INDIANAPOLIS, IN, 46260","-86.182175,39.88623","108036769","L"
"240009000320","600 N Patterson Park Ave, Baltimore, MD, 21205","Match","Exact","600 N Patterson Park Ave, BALTIMORE, MD, 21205","-76.585106,39.297665","206458355","L"
"550960002602","1900 N 1st St, Milwaukee, WI, 53212","Match","Exact","1900 N 1st St, MILWAUKEE, WI, 53212","-87.911224,43.055214","77741602","R"
"550960002601","2430 W Rogers St, Milwaukee, WI, 53204","Match","Exact","2430 W Rogers St, MILWAUKEE, WI, 53204","-87.94422,43.008564","77740898","R"
